instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,temp2,atemp,hum,hum2,windspeed,windspeed2,casual,registered,cnt,recency
1,2011-01-01,Spring,2011,Jan,0,Sun,1,2,14.110847,Mild,18.18125,80.58330000000001,High,10.749882,Calm,331,654,985,730.0
2,2011-01-02,Spring,2011,Jan,0,Mon,1,2,14.902598000000001,Mild,17.686950000000003,69.6087,High,16.652113,Breezy,131,670,801,729.0
3,2011-01-03,Spring,2011,Jan,0,Tue,1,1,8.050924,Cold,9.47025,43.7273,Medium,16.636703,Breezy,120,1229,1349,728.0
4,2011-01-04,Spring,2011,Jan,0,Wed,1,1,8.200000000000001,Cold,10.6061,59.0435,Medium,10.739832,Calm,108,1454,1562,727.0
5,2011-01-05,Spring,2011,Jan,0,Thu,1,1,9.305237,Cold,11.4635,43.695699999999995,Medium,12.522300000000001,Breezy,82,1518,1600,726.0
6,2011-01-06,Spring,2011,Jan,0,Fri,1,1,8.378268,Cold,11.66045,51.8261,Medium,6.0008684,Calm,88,1518,1606,725.0
7,2011-01-07,Spring,2011,Jan,0,Sat,1,2,8.057402,Cold,10.44195,49.8696,Medium,11.304642,Calm,148,1362,1510,724.0
8,2011-01-08,Spring,2011,Jan,0,Sun,1,2,6.765000000000001,Cold,8.1127,53.5833,Medium,17.875868,Breezy,68,891,959,723.0
9,2011-01-09,Spring,2011,Jan,0,Mon,1,1,5.671653,Cold,5.80875,43.416700000000006,Medium,24.25065,Windy,54,768,822,722.0
10,2011-01-10,Spring,2011,Jan,0,Tue,1,1,6.184153,Cold,7.5443999999999996,48.2917,Medium,14.958889,Breezy,41,1280,1321,721.0
11,2011-01-11,Spring,2011,Jan,0,Wed,1,2,6.9327309999999995,Cold,9.5732,68.6364,High,8.182844000000001,Calm,43,1220,1263,720.0
12,2011-01-12,Spring,2011,Jan,0,Thu,1,1,7.0818069999999995,Cold,8.02365,59.954499999999996,Medium,20.410009,Breezy,25,1137,1162,719.0
13,2011-01-13,Spring,2011,Jan,0,Fri,1,1,6.765000000000001,Cold,7.544149999999999,47.0417,Medium,20.166999999999998,Breezy,38,1368,1406,718.0
14,2011-01-14,Spring,2011,Jan,0,Sat,1,1,6.59567,Cold,9.42065,53.7826,Medium,8.478716,Calm,54,1367,1421,717.0
15,2011-01-15,Spring,2011,Jan,0,Sun,1,2,9.566653,Cold,12.4056,49.875,Medium,10.583521,Calm,222,1026,1248,716.0
16,2011-01-16,Spring,2011,Jan,0,Mon,1,1,9.498347,Cold,11.71085,48.375,Medium,12.625010999999999,Breezy,251,953,1204,715.0
17,2011-01-17,Spring,2011,Jan,1,Tue,0,2,7.209153,Cold,8.838550000000001,53.75,Medium,12.999139,Breezy,117,883,1000,714.0
